Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Dick Gordon,SDG,WR,30,7,3,0,0,0,0,0,1,25,25.00,0,2,15,7.50,0,4,,0,,,,2.0,4.0,1.0,,109,
Mike Hancock,WAS,TE,24,11,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,,,,,,,,60,
Clint Haslerig,2TM,WR,22,12,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,,,,,,,,110,
Ben Hawkins,CLE,WR,30,2,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,,,,,,,,111,
Don Horn,SDG,QB,29,12,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,,,,,,,,63,
Ron Howard,DAL,TE,23,12,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,,,,,,,,59,
Mike Hull,WAS,RB,29,14,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,,,,,,,,157,
Bob Hunt,CLE,RB,23,2,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,,,,,,,,158,
Scott Hunter,BUF,QB,27,1,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,,,,,,,,64,
Steve Jones,2TM,RB,23,10,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,,,,,,,,159,
Ted Koy,BUF,TE,27,12,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,,,,,,,,58,
Kent Kramer,PHI,TE,30,14,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,,,,,,,,57,
Larry Krause,GNB,RB,26,14,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,,,,,,,,160,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odell Lawson,NOR,RB,26,9,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,,,,,,,,161,
