Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Louis Lipps,PIT,WR,28,14,14,0,0,0,0,0,1,-5,-5.00,0,50,682,13.64,3,1,,3,,,85,134.7,138.2,109.7,,42,
Curtis Duncan,HOU,WR,25,16,16,0,0,0,0,0,0,0,,0,66,785,11.89,1,1,,1,,,84,149.5,153.0,116.5,,43,
Reggie Cobb,TAM,FB,22,16,13,0,0,0,0,0,151,480,3.18,2,39,299,7.67,0,8,,2,,,82,120.9,130.9,101.4,,42,
Anthony Toney,PHI,FB,28,15,11,0,0,0,0,0,132,452,3.42,1,17,133,7.82,3,3,,4,,,80,96.5,104.0,88.0,,43,
Steve Broussard,ATL,RB,23,13,10,0,0,0,0,0,126,454,3.60,4,24,160,6.67,0,6,,4,,,79,103.4,112.4,91.4,,44,
Mark Ingram,NYG,WR,25,16,14,0,0,0,0,0,1,4,4.00,0,26,499,19.19,5,1,,5,,,79,105.3,108.8,92.3,,44,
Tim McGee,CIN,WR,26,16,15,0,0,0,0,0,0,0,,0,43,737,17.14,1,1,,1,,,79,121.7,125.2,100.2,,45,
Robb Thomas,KAN,WR,24,16,12,0,0,0,0,0,0,0,,0,41,545,13.29,4,0,,4,,,79,119.5,122.5,99.0,,46,
Stephen Baker,NYG,WR,26,16,8,0,0,0,0,0,1,3,3.00,0,26,541,20.81,4,0,,4,,,78,104.4,107.4,91.4,,47,
Ickey Woods,CIN,FB,24,10,6,0,0,0,0,0,64,268,4.19,6,20,162,8.10,0,1,,6,,,78,98.0,104.5,88.0,,45,
Bob Gagliano,DET,QB,32,9,4,87,159,1190,10,10,46,145,3.15,0,0,0,,0,5,,0,,,77,77.1,95.6,87.1,,28,
Tony Jones,HOU,WR,25,15,0,0,0,0,0,0,1,-2,-2.00,0,30,409,13.63,6,0,,6,,,77,106.7,109.7,91.7,,48,
Keith McKeller,BUF,WR,26,16,14,0,0,0,0,0,0,0,,0,34,464,13.65,5,1,,5,,,75,109.4,112.9,92.4,,49,
Wendell Davis,CHI,WR,24,14,12,0,0,0,0,0,0,0,,0,39,572,14.67,3,1,,3,,,74,113.2,116.7,93.7,,50,
Brian Blades,SEA,WR,25,16,16,0,0,0,0,0,3,19,6.33,0,49,525,10.71,3,0,,3,,,72,121.4,124.4,96.9,,51,
Jeff Chadwick,SEA,WR,30,16,0,0,0,0,0,0,1,-3,-3.00,0,27,478,17.70,4,1,,4,,,71,97.5,101.0,84.0,,54,
Michael Irvin,DAL,WR,24,12,7,0,0,0,0,0,0,0,,0,20,413,20.65,5,0,,5,,,71,91.3,94.3,81.3,,52,
Kelvin Martin,DAL,WR,25,16,16,0,0,0,0,0,4,-2,-0.50,0,64,732,11.44,0,2,,0,,,71,135.0,139.0,103.0,,53,
Wade Wilson,MIN,QB,31,6,4,82,146,1155,9,8,12,79,6.58,0,0,0,,0,3,,0,,,71,71.1,83.6,79.1,,29,
Anthony Dilweg,GNB,QB,25,9,7,101,192,1267,8,7,21,114,5.43,0,0,0,,0,10,,0,,,70,70.1,88.1,77.1,,30,
Reggie Langhorne,CLE,WR,27,12,11,0,0,0,0,0,0,0,,0,45,585,13.00,2,2,,2,,,69,113.5,117.5,91.0,,55,
Tony Paige,MIA,FB,28,13,13,0,0,0,0,0,32,95,2.97,2,35,247,7.06,4,1,,6,,,69,104.2,107.7,86.7,,46,
Brian Brennan,CLE,WR,28,16,5,0,0,0,0,0,0,0,,0,45,568,12.62,2,1,,2,,,68,112.8,116.3,90.3,,56,
Roger Craig,SFO,FB,30,11,11,0,0,0,0,0,141,439,3.11,1,25,201,8.04,0,2,,1,,,68,93.0,100.0,80.5,,47,
Todd McNair,KAN,RB,25,15,1,0,0,0,0,0,14,61,4.36,0,40,507,12.68,2,1,,2,,,68,107.8,111.3,87.8,,48,
Kenneth Davis,BUF,RB,28,16,0,0,0,0,0,0,64,302,4.72,4,9,78,8.67,1,1,,5,,,67,76.0,79.5,71.5,,49,
Hart Lee Dykes,NWE,WR,24,10,10,0,0,0,0,0,0,0,,0,34,549,16.15,2,0,,2,,,67,100.9,103.9,83.9,,57,
Dexter Carter,SFO,RB,23,16,5,0,0,0,0,0,114,460,4.04,1,25,217,8.68,0,8,,1,,,66,90.7,100.7,78.2,,51,
Dave Meggett,NYG,RB,24,16,1,0,0,0,0,0,22,164,7.45,0,39,410,10.51,1,3,,2,,,66,105.4,112.9,85.9,,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanley Morgan,IND,WR,35,16,6,0,0,0,0,0,0,0,,0,23,364,15.83,5,1,,5,,,65,88.4,91.9,76.9,,58,
Jeff Query,GNB,WR,23,16,0,0,0,0,0,0,3,39,13.00,0,34,458,13.47,2,3,,3,,,65,98.7,103.2,81.7,,59,
Floyd Dixon,ATL,WR,26,16,2,0,0,0,0,0,0,0,,0,38,399,10.50,4,0,,4,,,64,101.9,104.9,82.9,,61,
Gill Fenerty,NOR,RB,27,15,0,0,0,0,0,0,73,355,4.86,2,18,209,11.61,0,4,,2,,,64,82.4,90.4,73.4,,52,
Emile Harry,KAN,WR,27,16,1,0,0,0,0,0,0,0,,0,41,519,12.66,2,0,,2,,,64,104.9,107.9,84.4,,62,
Ron Morris,CHI,WR,26,15,15,0,0,0,0,0,2,26,13.00,0,31,437,14.10,3,0,,3,,,64,95.3,98.3,79.8,,60,
Floyd Turner,NOR,WR,24,16,0,0,0,0,0,0,0,0,,0,21,396,18.86,4,0,,4,,,64,84.6,87.6,74.1,,63,
