Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Webster Slaughter,HOU,WR,30,16,12,0,0,0,0,0,0,0,,0,127,68,846,12.44,2,2,2,2,,,93,160.6,165.6,126.6,,42,
Floyd Turner,IND,WR,28,16,16,0,0,0,0,0,3,-3,-1.00,0,87,52,593,11.40,6,1,1,6,,,93,145.0,149.0,119.0,,40,
Glyn Milburn,DEN,RB,23,16,3,0,0,0,0,0,58,201,3.47,1,106,77,549,7.13,3,4,4,4,,,91,168.0,178.0,129.5,,37,
Heath Shuler,WAS,QB,23,11,8,120,265,1658,10,12,26,103,3.96,0,0,0,0,,0,3,2,0,,1,91,90.6,110.6,102.6,,26,
J.J. Birden,KAN,WR,29,13,13,0,0,0,0,0,0,0,,0,91,48,637,13.27,4,1,,4,1,,90,137.7,140.7,113.7,,43,
Keith Byars,MIA,FB,31,9,9,0,0,0,0,0,19,64,3.37,2,65,49,418,8.53,5,0,,7,,,90,139.2,142.2,114.7,,38,
Ronnie Harmon,SDG,RB,30,16,0,0,0,0,0,0,25,94,3.76,1,89,58,615,10.60,1,0,,2,3,,89,146.9,149.9,117.9,,39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Williams,PIT,FB,30,15,12,0,0,0,0,0,68,317,4.66,1,68,51,378,7.41,2,0,,3,,,88,138.5,144.5,113.0,,40,
Bert Emanuel,ATL,WR,24,16,16,0,1,0,0,1,2,4,2.00,0,96,46,649,14.11,4,0,,4,,,87,133.3,137.3,111.3,,44,
Mark Ingram,MIA,WR,29,15,13,0,0,0,0,0,0,0,,0,82,44,506,11.50,6,1,,6,,,87,130.6,133.6,108.6,,45,
Chris Chandler,RAM,QB,29,12,6,108,176,1352,7,2,18,61,3.39,1,0,0,0,,0,3,2,1,,,86,86.2,93.2,88.2,,27,
Shawn Jefferson,SDG,WR,25,16,16,0,0,0,0,0,3,40,13.33,0,87,43,627,14.58,3,0,,3,,,85,127.7,130.7,106.2,,46,
Chris Calloway,NYG,WR,26,16,14,0,0,0,0,0,8,77,9.63,0,85,43,666,15.49,2,1,1,2,,,84,127.3,131.3,105.8,,48,
Rocket Ismail,RAI,WR,25,16,0,0,0,0,0,0,4,31,7.75,0,64,34,513,15.09,5,0,,5,,,84,118.4,121.4,101.4,,47,
Gary Clark,ARI,WR,32,15,2,0,0,0,0,0,0,0,,0,103,50,771,15.42,1,0,,1,,,83,133.1,136.1,108.1,,50,
Jessie Hester,RAM,WR,31,16,15,0,0,0,0,0,2,28,14.00,0,81,45,644,14.31,3,1,1,3,,,83,128.2,132.2,105.7,,49,
Mark Carrier,CLE,WR,29,16,6,0,0,0,0,0,1,14,14.00,1,70,29,452,15.59,5,1,1,6,,,81,109.6,113.6,95.1,,52,
William Floyd,SFO,FB,22,16,11,0,0,0,0,0,87,305,3.51,6,26,19,145,7.63,0,0,,6,,,81,100.0,106.0,90.5,,41,
John Taylor,SFO,WR,32,15,15,0,0,0,0,0,2,-2,-1.00,0,64,41,531,12.95,5,1,1,5,,,81,121.9,125.9,101.4,,51,
Billy Joe Tolliver,HOU,QB,28,10,7,121,240,1287,6,7,12,37,3.08,2,,0,0,,0,7,,2,,2,81,81.2,91.2,88.2,,28,
Derrick Fenner,CIN,FB,27,16,13,0,0,0,0,0,141,468,3.32,1,50,36,276,7.67,1,6,3,2,,,80,116.4,125.4,98.4,,42,
Scott Mitchell,DET,QB,26,9,9,119,246,1456,10,11,15,24,1.60,1,0,0,0,,0,8,3,1,,,79,78.6,95.6,89.6,,29,
Yancey Thigpen,PIT,WR,25,15,6,0,0,0,0,0,0,0,,0,69,36,546,15.17,4,0,,4,,,79,114.6,117.6,96.6,,53,
Raymont Harris,CHI,FB,24,16,11,0,0,0,0,0,123,464,3.77,1,56,39,236,6.05,0,1,,1,,,76,115.0,121.0,95.5,,43,
Art Monk,NYJ,WR,37,16,15,0,0,0,0,0,0,0,,0,65,46,581,12.63,3,0,,3,,,76,122.1,125.1,99.1,,54,
Courtney Hawkins,TAM,WR,25,13,12,0,0,0,0,0,0,0,,0,72,37,438,11.84,5,0,,5,,,74,110.8,113.8,92.3,,55,
Bucky Richardson,HOU,QB,25,7,4,94,181,1202,6,6,30,217,7.23,1,0,0,0,,0,7,9,1,,2,74,73.8,94.8,79.8,,30,
Curtis Conway,CHI,WR,23,13,12,1,1,23,1,0,6,31,5.17,0,70,39,546,14.00,2,2,2,2,1,,73,111.6,116.6,92.1,,57,
Lawrence Dawsey,TAM,WR,27,10,5,0,0,0,0,0,0,0,,0,76,46,673,14.63,1,0,,1,,,73,119.3,122.3,96.3,,56,
John Friesz,WAS,QB,27,16,4,105,180,1266,10,9,1,1,1.00,0,0,0,0,,0,2,1,0,,1,73,72.7,85.7,81.7,,31,
James Joseph,PHI,FB,27,14,5,0,0,0,0,0,60,203,3.38,1,59,43,344,8.00,2,1,,3,,,73,115.7,121.7,94.2,,44,
Don Beebe,BUF,WR,30,13,11,0,0,0,0,0,2,11,5.50,0,74,40,527,13.18,4,3,3,4,,,72,111.8,117.8,91.8,,58,
Charles Johnson,PIT,WR,22,16,9,0,0,0,0,0,4,-1,-0.25,0,66,38,577,15.18,3,2,2,3,,,72,109.6,114.6,90.6,,59,
Kevin Turner,NWE,FB,25,16,9,0,0,0,0,0,36,111,3.08,1,74,52,471,9.06,2,4,2,3,,,72,124.2,132.2,98.2,,45,
Greg Hill,KAN,RB,22,16,1,0,0,0,0,0,141,574,4.07,1,22,16,92,5.75,0,1,1,1,,,71,86.6,90.6,78.6,,46,
Steve Beuerlein,ARI,QB,29,9,7,130,255,1545,5,9,22,39,1.77,1,0,0,0,,0,8,2,1,,,70,69.7,83.7,78.7,,32,
Kelvin Martin,SEA,WR,29,16,15,0,0,0,0,0,0,0,,0,135,56,681,12.16,1,2,2,1,,,70,126.1,131.1,98.1,,60,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O.J. McDuffie,MIA,WR,25,15,3,0,0,0,0,0,5,32,6.40,0,57,37,488,13.19,3,3,,3,,,70,107.0,110.0,88.5,,61,
Roosevelt Potts,IND,RB,23,16,15,0,0,0,0,0,77,336,4.36,1,42,26,251,9.65,1,5,2,2,,,67,92.7,100.7,79.7,,47,
