player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Steve Ramsey,DEN,QB,24.0,9,5,65,137,1050,3,9,6,15,2.5,2,0,0,0.0,0,5,0,2,0.0,0.0,45.0,44.5,59.0,53.5,0.0,30.0,0.0
Riley Odoms,DEN,TE,22.0,14,0,0,0,0,0,0,5,72,14.4,0,21,320,15.24,1,1,0,1,0.0,0.0,44.0,65.2,68.7,54.7,0.0,15.0,0.0
Virgil Carter,CIN,QB,27.0,10,1,47,82,579,3,4,12,57,4.75,2,0,0,0.0,0,2,0,2,0.0,0.0,43.0,42.9,50.9,46.9,0.0,32.0,0.0
Brian Dowling,NWE,QB,25.0,14,0,29,54,383,2,1,7,35,5.0,3,0,0,0.0,0,0,0,3,0.0,0.0,43.0,42.8,46.8,43.8,0.0,33.0,0.0
Jim Hart,STL,QB,28.0,6,3,60,119,857,5,5,9,17,1.89,0,0,0,0.0,0,3,0,0,0.0,0.0,43.0,43.0,52.5,48.0,0.0,31.0,0.0
Jimmy Thomas,SFO,RB,25.0,14,1,0,0,0,0,0,52,250,4.81,1,15,148,9.87,0,3,0,1,0.0,0.0,43.0,57.8,65.3,50.3,0.0,60.0,0.0
Bob Windsor,NWE,TE,30.0,14,14,0,0,0,0,0,1,-4,-4.0,0,33,383,11.61,1,1,0,1,0.0,0.0,43.0,75.9,79.4,59.4,0.0,16.0,0.0
Tony Baker,PHI,FB,27.0,13,6,0,0,0,0,0,90,322,3.58,0,16,114,7.13,0,2,0,0,0.0,0.0,42.0,57.6,64.6,49.6,0.0,61.0,0.0
Mike Adamle,KAN,RB,23.0,14,4,0,0,0,0,0,73,303,4.15,1,15,76,5.07,0,3,0,1,0.0,0.0,41.0,55.9,60.4,48.4,0.0,62.0,0.0
Jerome Barkum,NYJ,TE,22.0,14,1,0,0,0,0,0,0,0,0.0,0,16,304,19.0,2,1,0,2,0.0,0.0,41.0,57.4,60.9,49.4,0.0,17.0,0.0
