Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Billy Jackson,KAN,RB,25,16,9,0,0,0,0,0,50,225,4.50,1,15,101,6.73,1,2,,2,,,43,57.6,64.6,50.1,,74,
Art Schlichter,IND,QB,24,9,5,62,140,702,3,7,19,145,7.63,1,0,0,,0,4,,1,,,43,42.6,57.6,49.6,,39,
Willie Scott,KAN,TE,25,15,12,0,0,0,0,0,0,0,,0,28,253,9.04,3,0,,3,,,43,71.3,74.3,57.3,,26,
Dave Wilson,NOR,QB,25,5,2,51,93,647,7,4,3,-7,-2.33,0,0,0,,0,2,,0,,,43,43.2,51.2,47.2,,38,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julius Dawkins,BUF,WR,23,16,3,0,0,0,0,0,0,0,,0,21,295,14.05,2,0,,2,,,42,62.5,65.5,52.0,,70,
Boomer Esiason,CIN,QB,23,10,4,51,102,530,3,3,19,63,3.32,2,0,0,,0,4,,2,,,42,41.5,49.5,44.5,,41,
Mike Moroski,ATL,QB,27,16,5,102,191,1207,2,9,21,98,4.67,0,0,0,,0,6,,0,,,42,42.1,57.1,51.1,,40,
Mitchell Brookins,BUF,WR,24,16,0,0,0,0,0,0,2,27,13.50,0,18,318,17.67,1,0,,1,,,41,58.5,61.5,49.5,,72,
Cedric Jones,NWE,WR,24,14,3,0,0,0,0,0,0,0,,0,19,244,12.84,2,1,,3,,,41,60.4,63.9,50.9,,71,
Gary Kubiak,DEN,QB,23,7,2,44,75,440,4,1,9,27,3.00,1,1,20,20.00,0,1,,1,,,41,42.3,46.8,42.8,,42,
Hubie Oliver,PHI,FB,27,16,15,0,0,0,0,0,72,263,3.65,0,32,142,4.44,0,0,,0,,,41,72.5,78.5,56.5,,75,
