player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Jim Hart,STL,QB,26.0,14.0,14.0,171.0,373.0,2575.0,14.0,18.0,18.0,18.0,1.0,0.0,0.0,0.0,,0.0,6.0,,0.0,,,119.0,118.8,142.8,136.8,4.0,10.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Blanda,OAK,QB,43.0,14.0,0.0,29.0,55.0,461.0,6.0,5.0,2.0,4.0,2.0,0.0,0.0,0.0,,0.0,1.0,,0.0,,,118.0,117.8,128.3,124.8,3.0,11.0,60.0
Jim Nance,BOS,FB,28.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,145.0,522.0,3.6,7.0,26.0,148.0,5.69,0.0,6.0,,7.0,,,103.0,129.0,138.0,116.0,3.0,20.0,61.0
Virgil Carter,CIN,QB,25.0,13.0,11.0,143.0,278.0,1647.0,9.0,9.0,34.0,246.0,7.24,2.0,0.0,0.0,,0.0,5.0,,2.0,,,115.0,115.5,133.0,124.5,,12.0,62.0
Bill Nelsen,CLE,QB,29.0,12.0,12.0,159.0,313.0,2156.0,16.0,16.0,7.0,-4.0,-0.57,0.0,0.0,0.0,,0.0,6.0,,0.0,,,112.0,111.8,133.8,127.8,,13.0,63.0
Bob Griese*,MIA,QB,25.0,14.0,14.0,142.0,245.0,2019.0,12.0,17.0,26.0,89.0,3.42,2.0,0.0,0.0,,0.0,5.0,,2.0,,,111.0,110.7,133.2,127.7,,15.0,64.0
Dennis Shaw,BUF,QB,23.0,14.0,12.0,178.0,321.0,2507.0,10.0,20.0,39.0,210.0,5.38,0.0,0.0,0.0,,0.0,10.0,,0.0,,,111.0,111.3,142.3,131.3,,14.0,65.0
Bob Berry,ATL,QB,28.0,12.0,12.0,156.0,269.0,1806.0,16.0,13.0,13.0,60.0,4.62,0.0,0.0,0.0,,0.0,6.0,,0.0,,,110.0,110.2,129.2,123.2,,16.0,66.0
Johnny Unitas,BAL,QB,37.0,14.0,13.0,166.0,321.0,2213.0,14.0,18.0,9.0,16.0,1.78,0.0,0.0,0.0,,0.0,2.0,,0.0,,,108.0,108.1,130.1,126.1,,17.0,67.0
Greg Landry,DET,QB,24.0,12.0,6.0,83.0,136.0,1072.0,9.0,5.0,35.0,350.0,10.0,1.0,0.0,0.0,,0.0,3.0,,1.0,,,107.0,106.9,119.4,111.9,,18.0,68.0
Charlie Harraway,WAS,RB,26.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,146.0,577.0,3.95,5.0,24.0,136.0,5.67,0.0,1.0,,5.0,,,100.0,124.3,130.8,112.3,,21.0,69.0
Walt Garrison,DAL,FB,26.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,126.0,507.0,4.02,3.0,21.0,205.0,9.76,2.0,2.0,,5.0,,,99.0,120.2,127.2,109.7,,22.0,70.0
Len Dawson,KAN,QB,35.0,14.0,12.0,141.0,262.0,1876.0,13.0,14.0,11.0,46.0,4.18,0.0,0.0,0.0,,0.0,5.0,,0.0,,,99.0,98.6,118.1,112.6,,19.0,71.0
Cyril Pinder,PHI,RB,24.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,166.0,657.0,3.96,2.0,28.0,249.0,8.89,0.0,5.0,,2.0,,,98.0,125.6,134.1,111.6,,25.0,72.0
