Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Gary Davis,MIA,RB,24,14,1,0,0,0,0,0,62,313,5.05,3,24,218,9.08,0,3,,3,,,68,92.1,99.6,80.1,,60,
Steve Jones,STL,RB,27,16,9,0,0,0,0,0,105,392,3.73,2,27,217,8.04,0,5,,2,,,68,94.9,103.4,81.4,,61,
Don McCauley,BAL,RB,29,15,1,0,0,0,0,0,44,107,2.43,5,34,296,8.71,0,2,,5,,,68,102.3,109.3,85.3,,59,
Morris Bradshaw,OAK,WR,26,16,14,0,0,0,0,0,1,5,5.00,0,40,552,13.80,2,1,,2,,,67,106.7,110.2,86.7,,43,
Freddie Solomon,SFO,WR,25,16,15,5,10,85,0,1,14,70,5.00,1,31,458,14.77,2,5,,3,,,67,98.2,104.7,83.7,,42,
Don Strock,MIA,QB,28,16,7,72,135,825,12,6,10,23,2.30,0,0,0,,0,4,,0,,,67,67.3,78.3,73.3,,26,
Aundra Thompson,GNB,WR,25,16,16,0,0,0,0,0,4,25,6.25,0,26,527,20.27,2,1,,2,,,66,92.2,95.7,79.2,,44,
Charlie Joiner,SDG,WR,31,16,15,0,0,0,0,0,0,0,,0,33,607,18.39,1,2,,1,,,65,97.7,101.7,81.2,,45,
Mike Strachan,NOR,RB,25,15,5,0,1,0,0,0,108,388,3.59,4,10,51,5.10,0,3,,4,,,65,74.9,79.4,69.9,,62,
Rich Caster,HOU,WR,30,14,6,0,0,0,0,0,5,32,6.40,0,20,316,15.80,5,1,,5,,,64,83.8,87.3,73.8,,46,
Billy Brooks,CIN,WR,25,15,13,0,0,0,0,0,0,0,,0,30,506,16.87,2,0,,2,,,63,92.6,95.6,77.6,,47,
Roland Hooks,BUF,RB,25,16,0,0,0,0,0,0,76,358,4.71,2,15,110,7.33,1,2,,3,,,63,77.8,84.8,70.3,,65,
Scott Laidlaw,DAL,RB,25,16,4,0,0,0,0,0,75,312,4.16,3,6,108,18.00,1,3,,4,,,63,69.0,76.5,66.0,,63,
Preston Pearson,DAL,RB,33,16,1,0,0,0,0,0,25,104,4.16,0,47,526,11.19,0,0,,0,,,63,110.0,116.0,86.5,,64,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Jackson,ATL,WR,23,15,0,0,0,0,0,0,0,0,,0,26,526,20.23,2,3,,2,,,62,87.6,92.1,74.6,,48,
Doug Williams,TAM,QB,23,10,10,73,194,1170,7,8,27,23,0.85,1,0,0,,0,5,,1,,,62,62.1,75.6,70.1,,27,
Al Hunter,SEA,RB,23,16,5,0,0,0,0,0,105,348,3.31,2,12,172,14.33,0,3,,2,,,61,73.0,80.5,67.0,,66,
Bob Ferrell,SFO,FB,26,16,8,0,0,0,0,0,125,471,3.77,1,16,123,7.69,0,5,,1,,,60,76.4,84.9,68.4,,67,
Mike Livingston,KAN,QB,33,14,14,159,290,1573,5,13,23,49,2.13,1,0,0,,0,8,,1,,,60,59.8,79.8,72.8,,28,
Robert Miller,MIN,RB,25,15,2,0,0,0,0,0,70,213,3.04,3,22,230,10.45,0,2,,3,,,60,82.3,89.3,71.3,,68,
Otis Armstrong,DEN,RB,28,16,9,0,0,0,0,0,112,381,3.40,1,12,98,8.17,1,1,,2,,,59,70.9,74.4,64.9,,70,
Wes Chandler,NOR,WR,22,16,5,0,0,0,0,0,2,10,5.00,0,35,472,13.49,2,1,,2,,,59,94.2,97.7,76.7,,49,
Jimmy DuBose,TAM,FB,24,6,5,0,0,0,0,0,93,358,3.85,4,1,3,3.00,0,1,,4,,,59,60.1,63.6,59.6,,69,
Roosevelt Leaks,BAL,FB,25,12,12,0,0,0,0,0,83,266,3.20,2,9,111,12.33,2,3,,4,,,59,67.7,75.2,63.2,,71,
Lawrence McCutcheon,RAM,RB,28,8,7,0,1,0,0,0,118,420,3.56,0,12,76,6.33,2,4,,2,,,58,69.6,74.6,63.6,,72,
Dave Preston,DEN,RB,23,16,0,0,0,0,0,0,66,296,4.48,1,24,199,8.29,1,4,,2,,,58,81.5,89.5,69.5,,73,
Andre Tillman,MIA,TE,26,16,16,0,0,0,0,0,0,0,,0,31,398,12.84,3,0,,3,,,58,88.8,91.8,73.3,,12,
Jerome Barkum,NYJ,TE,28,16,16,0,0,0,0,0,0,0,,0,28,391,13.96,3,0,,3,,,57,85.1,88.1,71.1,,13,
Larry Canada,DEN,RB,24,16,0,0,0,0,0,0,79,365,4.62,3,6,37,6.17,0,1,,3,,,57,63.2,66.7,60.2,,75,
