Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Aaron Pierce,NYG,TE,24,13,6,0,0,0,0,0,0,0,,0,19,12,212,17.67,0,2,,0,,,19,31.2,35.2,25.2,,34,
Mazio Royster,TAM,RB,23,14,0,0,0,0,0,0,33,115,3.48,1,5,5,18,3.60,0,0,,1,,,19,24.3,27.3,21.8,,93,
Nate Singleton,SFO,WR,25,16,0,0,0,0,0,0,0,0,,0,14,8,126,15.75,1,0,,1,,,19,26.6,29.6,22.6,,96,
Jamie Williams,SFO,TE,33,16,0,0,0,0,0,0,0,0,,0,20,16,132,8.25,1,0,,1,,,19,35.2,38.2,27.2,,35,
Dexter Carter,SFO,RB,26,16,0,0,0,0,0,0,10,72,7.20,1,9,3,40,13.33,0,5,,2,,,18,21.2,23.7,19.7,,96,
Bob Christian,CHI,RB,25,14,1,0,0,0,0,0,8,19,2.38,0,24,16,160,10.00,0,0,,0,,,18,33.9,36.9,25.9,,97,
Ernie Jones,RAM,WR,29,10,0,0,0,0,0,0,1,4,4.00,0,13,5,56,11.20,2,0,,2,,,18,23.0,23.0,20.5,,99,
James Lofton,2TM,WR,37,10,2,0,0,0,0,0,0,0,,0,33,14,183,13.07,0,0,,0,,,18,32.3,35.3,25.3,,97,
Aubrey Matthews,DET,WR,31,14,2,0,0,0,0,0,2,7,3.50,0,23,11,171,15.55,0,0,,0,,,18,28.8,31.8,23.3,,100,
Derrick Ned,NOR,FB,24,14,1,0,0,0,0,0,9,71,7.89,1,13,9,54,6.00,0,1,,1,,,18,26.5,27.0,22.0,,98,
Pat Newman,NOR,WR,25,16,0,0,0,0,0,0,0,0,,0,20,8,121,15.13,1,0,,1,,,18,26.1,29.1,22.1,,98,
Gary Anderson,2TM,RB,32,10,1,0,0,0,0,0,28,56,2.00,0,15,11,89,8.09,1,4,,1,,,17,27.5,29.5,22.0,,99,
David Mims,ATL,WR,23,15,2,0,0,0,0,0,1,3,3.00,0,19,12,107,8.92,1,0,,1,,,17,29.0,32.0,23.0,,101,
Fred Barnett,PHI,WR,27,4,4,0,0,0,0,0,0,0,,0,23,17,170,10.00,0,1,,0,,,16,33.0,36.5,24.5,,102,
Carwell Gardner,BUF,FB,27,13,2,0,0,0,0,0,20,56,2.80,0,7,4,50,12.50,1,1,,1,,,16,19.6,20.1,17.6,,102,
Spencer Tillman,HOU,RB,29,15,0,0,0,0,0,0,9,94,10.44,0,2,1,4,4.00,1,0,,1,,,16,16.8,16.8,16.3,,101,
Harvey Williams,KAN,RB,26,7,6,0,0,0,0,0,42,149,3.55,0,9,7,42,6.00,0,3,,0,,,16,23.1,27.6,19.6,,100,
Duane Young,SDG,TE,25,16,15,0,0,0,0,0,0,0,,0,9,6,41,6.83,2,0,,2,,,16,22.1,22.1,19.1,,36,
Tyji Armstrong,TAM,TE,23,12,7,0,0,0,0,0,2,5,2.50,0,16,9,86,9.56,1,0,,1,,,15,24.1,24.1,19.6,,38,
Eric Dickerson,ATL,RB,33,4,2,0,0,0,0,0,26,91,3.50,0,8,6,58,9.67,0,0,,0,,,15,20.9,20.9,17.9,,103,
Craig Thompson,CIN,TE,24,13,0,0,0,0,0,0,0,0,,0,28,17,87,5.12,1,0,,1,,,15,31.7,31.7,23.2,,39,
Ryan Wetnight,CHI,TE,23,10,1,0,0,0,0,0,0,0,,0,18,9,93,10.33,1,0,,1,,,15,24.3,24.3,19.8,,37,
Eric Ball,CIN,RB,27,15,1,0,0,0,0,0,8,37,4.63,1,5,4,39,9.75,0,0,,1,,,14,17.6,17.6,15.6,,105,
Johnnie Barnes,SDG,WR,25,14,0,0,0,0,0,0,0,0,,0,16,10,137,13.70,0,0,,0,,,14,23.7,26.7,18.7,,103,
Greg Baty,MIA,TE,29,16,1,0,0,0,0,0,0,0,,0,11,5,78,15.60,1,0,,1,,,14,18.8,18.8,16.3,,42,
Keith Jennings,CHI,TE,27,13,10,0,0,0,0,0,0,0,,0,16,14,150,10.71,0,1,,0,,,14,28.0,31.5,21.0,,41,
Fred Jones,KAN,WR,26,10,1,0,0,0,0,0,5,34,6.80,0,19,9,111,12.33,0,1,,0,,,14,22.5,26.0,18.0,,104,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
