player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Stan Winfrey,MIA,RB,22.0,11,0,0,0,0,0,0,3,10,3.33,0,0,0,0.0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,138.0,0.0
George Amundson,PHI,RB,24.0,6,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0
Bobby Anderson,2TM,RB,28.0,6,0,0,1,0,0,0,1,1,1.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,140.0,0.0
Dave Atkins,SDG,RB,26.0,3,0,0,0,0,0,0,1,4,4.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.4,0.4,0.4,0.0,139.0,0.0
Bob Berry,MIN,QB,33.0,1,0,3,6,24,0,0,1,0,0.0,0,0,0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,66.0,0.0
Gary Butler,CHI,TE,24.0,8,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0
Virgil Carter,SDG,QB,30.0,1,1,3,5,24,0,1,2,11,5.5,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.1,1.1,1.1,0.0,64.0,0.0
Gil Chapman,NOR,WR,22.0,9,0,0,0,0,0,0,0,0,0.0,0,1,7,7.0,0,1,0,0,0.0,0.0,0.0,0.7,1.2,0.2,0.0,96.0,0.0
Craig Cotton,SDG,TE,28.0,9,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0
Reggie Craig,KAN,WR,22.0,14,0,0,0,0,0,0,0,0,0.0,0,1,10,10.0,0,1,0,0,0.0,0.0,0.0,1.0,1.5,0.5,0.0,88.0,0.0
Steve Crosby,NYG,RB,25.0,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0
Larry Crowe,ATL,RB,25.0,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0
Brad Davis,ATL,RB,22.0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0
Lynn Dickey,HOU,QB,26.0,14,0,2,4,46,0,1,1,3,3.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.1,1.1,1.1,0.0,63.0,0.0
Tom Donchez,CHI,RB,23.0,14,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0
Mike Franckowiak,DEN,RB,22.0,14,0,0,0,0,0,0,1,1,1.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,141.0,0.0
Len Garrett,2TM,TE,28.0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0
Kent Gaydos,GNB,WR,26.0,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0
Steve Haggerty,DEN,WR,22.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0
Terry Hanratty,PIT,QB,27.0,1,0,0,0,0,0,0,1,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0
Gary Hayman,BUF,RB,24.0,14,0,0,0,0,0,0,10,30,3.0,0,0,0,0.0,0,3,0,0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,148.0,0.0
Al Haywood,DEN,RB,27.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0
Jim Hooks,DET,RB,25.0,12,0,0,0,0,0,0,4,-8,-2.0,0,1,5,5.0,0,0,0,0,0.0,0.0,0.0,0.7,0.7,0.2,0.0,153.0,0.0
